transcript_id,HBR_Rep1_ERCC-Mix2,HBR_Rep2_ERCC-Mix2,HBR_Rep3_ERCC-Mix2,UHR_Rep1_ERCC-Mix1,UHR_Rep2_ERCC-Mix1,UHR_Rep3_ERCC-Mix1
ENST00000744203,0,0,0,0,0,0
ENST00000744204,0,0,0,0,0,0
ENST00000651411,0,0,0,0,0,0
ENST00000744205,0,0,0,0,0,0
ENST00000585826,0,0,0,0,0,0
ENST00000744207,0,0,0,0,0,0
ENST00000744206,0,0,0,0,0,0
ENST00000744209,0,0,0,0,0,0
ENST00000744208,0,0,0,0,0,0
ENST00000589899,0,0,0,0,0,0
ENST00000609830,0,0,0,0,0,0
ENST00000443772,0,0,0,0,0,0
ENST00000586928,0,0,0,0,0,0
ENST00000644482,0,0,0,0,0,0
ENST00000592547,0,0,0,0,0,0
ENST00000585745,0,0,0,0,0,0
ENST00000585768,0,0,0,0,0,0
ENST00000590848,0,0,0,0,0,0
ENST00000591440,0,0,0,0,0,0
ENST00000587530,0,0,0,0,0,0
ENST00000593022,0,0,0,0,0,0
ENST00000589531,0,0,0,0,0,0
ENST00000588951,0,0,0,0,0,0
ENST00000586288,0,0,0,0,0,0
ENST00000591702,0,0,0,0,0,0
ENST00000744077,0,0,0,0,0,0
ENST00000743839,0,0,0,0,0,0
ENST00000743841,0,0,0,0,0,0
ENST00000743840,0,0,0,0,0,0
ENST00000743837,0,0,0,0,0,0
ENST00000743842,0,0,0,0,0,0
ENST00000743864,0,0,0,0,0,0
ENST00000743843,0,0,0,0,0,0
ENST00000743838,0,0,0,0,0,0
ENST00000743836,0,0,0,0,0,0
ENST00000743850,0,0,0,0,0,0
ENST00000743849,0,0,0,0,0,0
ENST00000743848,0,0,0,0,0,0
ENST00000743847,0,0,0,0,0,0
ENST00000743846,0,0,0,0,0,0
ENST00000447500,0,0,0,0,0,0
ENST00000743845,0,0,0,0,0,0
ENST00000743844,0,0,0,0,0,0
ENST00000743853,0,0,0,0,0,0
ENST00000743852,0,0,0,0,0,0
ENST00000744079,0,0,0,0,0,0
ENST00000743868,0,0,0,0,0,0
ENST00000744083,0,0,0,0,0,0
ENST00000743855,0,0,0,0,0,0
ENST00000743854,0,0,0,0,0,0
ENST00000743851,0,0,0,0,0,0
ENST00000743856,0,0,0,0,0,0
ENST00000655384,0,0,0,0,0,0
ENST00000743857,0,0,0,0,0,0
ENST00000744078,0,0,0,0,0,0
ENST00000743859,0,0,0,0,0,0
