gene_id,HBR_Rep1_ERCC-Mix2,HBR_Rep2_ERCC-Mix2,HBR_Rep3_ERCC-Mix2,UHR_Rep1_ERCC-Mix1,UHR_Rep2_ERCC-Mix1,UHR_Rep3_ERCC-Mix1
MSTRG.172|RPL9P6,0,0,0,0,0,0
MSTRG.173,0,0,0,0,0,0
MSTRG.175,0,0,0,0,0,0
MSTRG.176,0,0,0,0,0,0
MSTRG.174|EIF3LP1,2,0,0,4,2,7
MSTRG.194,2,0,2,1,0,0
MSTRG.194|BMS1P8,0,0,0,0,0,0
MSTRG.105,0,0,0,0,0,0
MSTRG.106|DLEU2,0,0,0,0,0,0
MSTRG.107|TRIM13,0,0,0,0,0,0
MSTRG.106|MIR3613,0,0,0,0,0,0
MSTRG.107|KCNRG,0,0,0,0,0,0
MSTRG.108,0,0,0,0,0,0
MSTRG.109,0,0,0,0,0,0
MSTRG.110|MIR16-1,0,0,0,0,0,0
MSTRG.106|MIR15A,0,0,0,0,0,0
MSTRG.111,0,0,0,0,0,0
MSTRG.112,0,0,0,0,0,0
MSTRG.113,0,0,0,0,0,0
MSTRG.114|DLEU1,0,0,0,0,0,0
MSTRG.114,0,0,0,0,0,0
MSTRG.115|RPL18P10,0,0,0,0,0,0
MSTRG.116,0,0,0,0,0,0
MSTRG.117,0,0,0,0,0,0
MSTRG.119,0,0,0,0,0,0
MSTRG.120|RPL34P26,0,0,0,0,0,0
MSTRG.121|DLEU7,0,0,0,0,0,0
MSTRG.122|RNA5SP28,0,0,0,0,0,0
MSTRG.123|RNASEH2B-AS1,0,0,0,0,0,0
MSTRG.124|RNASEH2B,0,0,0,0,0,0
MSTRG.125|GUCY1B2,0,0,0,0,0,0
MSTRG.126|RNA5SP29,0,0,0,0,0,0
MSTRG.118|ST13P4,3,18,9,24,17,15
ENSG00000129968|ABHD17A,0,0,0,0,0,0
ENSG00000169021|UQCRFS1,0,0,0,0,0,0
MSTRG.255|UBE2M,0,0,0,0,0,0
MSTRG.256|MZF1-AS1,3,7,3,7,3,4
MSTRG.257|MZF1,0,0,0,0,0,0
MSTRG.256,0,0,0,0,0,0
MSTRG.258,0,0,0,0,0,0
MSTRG.256|CENPBD2P,8,12,2,3,2,2
MSTRG.259,3,0,0,0,0,0
MSTRG.259|BMS1P23,0,0,0,0,0,0
MSTRG.183,0,0,0,0,0,0
MSTRG.184,0,0,0,0,0,0
MSTRG.185|THSD4,0,0,0,0,0,0
MSTRG.186|CT62,0,0,0,0,0,0
MSTRG.187|THSD4-AS1,0,0,0,0,0,0
MSTRG.189,0,0,0,0,0,0
MSTRG.190,0,0,0,0,0,0
MSTRG.191,0,0,0,0,0,0
MSTRG.192|RPL17P39,0,0,0,0,0,0
MSTRG.193,0,0,0,0,0,0
MSTRG.188|HMGB1P6,1,1,2,6,6,4
MSTRG.260|PGM5P4-AS1,0,0,0,0,0,0
MSTRG.261|FAM138B,0,0,0,0,0,0
MSTRG.261,0,0,0,0,0,0
MSTRG.261|PGM5P4,0,0,0,0,0,0
MSTRG.262,0,0,0,0,0,0
MSTRG.263,0,0,0,0,0,0
MSTRG.263|RPL23AP7,10,12,19,10,10,8
MSTRG.263|MIR1302-3,0,0,0,0,0,0
MSTRG.261|WASH2P,0,0,0,0,0,0
MSTRG.263|DDX11L2,0,0,0,0,0,0
MSTRG.264,0,0,0,0,0,0
MSTRG.265,0,0,0,0,0,0
MSTRG.266|RABL2A,29,19,20,30,9,19
MSTRG.267|LINC01087,0,0,0,0,0,0
MSTRG.268|GRAMD4P8,0,0,0,0,0,0
MSTRG.267|LINC03124,2,0,3,0,4,13
MSTRG.267,0,0,0,3,0,0
MSTRG.267|NBEAP2,0,0,0,0,0,0
MSTRG.269|TOMM40P4,0,0,0,0,0,0
MSTRG.267|CDRT15P4,0,0,0,0,0,0
MSTRG.275,0,0,0,0,0,0
MSTRG.276|RPL23AP4,1,2,0,1,1,1
ENSG00000237689,0,0,0,0,0,0
MSTRG.296|DUXAP8,29,14,17,643,403,438
MSTRG.297,0,0,0,0,0,0
MSTRG.297|BMS1P22,0,0,0,0,0,0
MSTRG.296|NBEAP3,0,0,0,2,3,2
MSTRG.298|TOMM40P2,0,0,0,0,0,0
MSTRG.296,2,0,0,62,17,27
MSTRG.314,77,106,91,111,77,82
MSTRG.314|CECR7,0,0,0,0,0,0
MSTRG.316|IL17RA,124,136,130,212,153,180
MSTRG.317|RPL31P62,0,0,0,0,0,0
MSTRG.318|TMEM121B,57,104,67,21,10,9
MSTRG.319|LINC01664,4,0,0,0,0,0
MSTRG.301|KCNMB3P1,0,0,0,0,0,0
MSTRG.301,0,0,0,0,0,0
MSTRG.302|CCT8L2,0,0,0,3,0,0
MSTRG.303,0,0,0,0,0,0
MSTRG.304,0,0,0,0,0,0
MSTRG.304|FABP5P11,0,0,0,0,0,0
MSTRG.305|TPTEP1,49,47,40,312,188,255
MSTRG.306,0,0,1,6,7,1
MSTRG.307|SLC25A15P5,0,0,0,0,0,0
MSTRG.308|PARP4P3,0,0,0,0,0,0
MSTRG.308|ANKRD62P1-PARP4P3,0,0,0,0,0,0
MSTRG.308|ANKRD62P1,0,0,0,0,0,0
MSTRG.308,0,0,0,0,0,0
MSTRG.308|VWFP1,0,0,6,0,0,0
MSTRG.308|LINC01665,0,0,0,0,0,0
MSTRG.309,0,0,0,0,0,0
MSTRG.320|HDHD5,62,90,75,284,168,299
MSTRG.321|HDHD5-AS1,0,0,0,5,0,0
MSTRG.322|ADA2,61,60,65,88,69,53
MSTRG.323|RPL32P5,0,0,0,0,0,0
MSTRG.324|FAM32BP,0,3,0,0,0,0
MSTRG.325,0,0,0,0,0,0
MSTRG.322|CECR3,0,0,0,0,0,0
MSTRG.326|CECR2,249,184,265,262,171,211
MSTRG.328|CLCP1,0,0,0,0,0,0
MSTRG.329|DNAJA1P6,0,0,0,0,0,0
MSTRG.330,0,0,0,0,0,0
MSTRG.331|SLC25A18,236,259,198,0,0,0
MSTRG.332,0,0,0,0,0,0
MSTRG.333|ATP6V1E1,824,926,812,546,372,427
MSTRG.334|BCL2L13,440,597,572,545,351,414
MSTRG.335|BID,98,101,126,239,153,231
MSTRG.336|MIR3198-1,0,0,0,0,0,1
MSTRG.327|TERF2IPP1,1,8,2,0,1,3
MSTRG.353|USP18,10,14,9,70,33,49
MSTRG.339,0,0,0,0,0,0
MSTRG.338|MICAL3,865,1251,1096,605,357,480
MSTRG.340,0,0,0,0,0,0
MSTRG.341,0,0,0,0,0,0
MSTRG.342|MIR648,0,0,4,0,0,0
MSTRG.345|RHEBP3,0,0,0,0,0,0
MSTRG.346,0,0,0,0,0,0
MSTRG.338,88,19,160,4,6,48
MSTRG.343,4,12,4,4,3,3
MSTRG.344,5,21,6,2,6,5
ENSG00000187979|FAM230D,0,0,0,0,0,0
ENSG00000308419,0,0,0,0,0,0
MSTRG.347|LINC01634,0,0,0,0,0,0
MSTRG.347,0,0,0,0,0,0
MSTRG.348,5,9,11,3,5,6
